id,farm_id,item_name,category,season,notes,created_at,updated_at
67832c5a-20ce-4fb4-8d05-0863d038a14c,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Celery/Lovage,micro,early_winter,,2026-04-09T05:56:27.043152+00:00,2026-04-09T05:56:27.043152+00:00
c743cb7c-68e0-47d9-83d0-c7a5b0242498,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Nasturtium,micro,early_winter,,2026-04-09T05:56:27.043152+00:00,2026-04-09T05:56:27.043152+00:00
b10180a3-0c1d-400f-a4b5-f02994823009,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Wasabi Arugula,micro,early_winter,,2026-04-09T05:56:27.043152+00:00,2026-04-09T05:56:27.043152+00:00
82c9aeec-ce0a-439b-ad72-52f335d42a3d,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Pea,micro,early_winter,,2026-04-09T05:56:27.043152+00:00,2026-04-09T05:56:27.043152+00:00
62e7d347-7bc6-488a-ab3d-190a49e8650e,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Fava,micro,early_winter,,2026-04-09T05:56:27.043152+00:00,2026-04-09T05:56:27.043152+00:00
8560eff9-21db-4214-a2c4-fd54f48502df,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Mustard Flowers,flowers,early_winter,,2026-04-09T05:56:27.043152+00:00,2026-04-09T05:56:27.043152+00:00
a2b908ad-b792-4412-9cb7-809834bae2a1,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Alyssum,flowers,early_winter,,2026-04-09T05:56:27.043152+00:00,2026-04-09T05:56:27.043152+00:00
612eafc2-cb34-466d-ba97-bf8aac3ebcc8,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Viola,flowers,early_winter,,2026-04-09T05:56:27.043152+00:00,2026-04-09T05:56:27.043152+00:00
3ec95071-6b3b-45e0-ae72-cfd14b50ba6c,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Chrysanthemum,flowers,early_winter,,2026-04-09T05:56:27.043152+00:00,2026-04-09T05:56:27.043152+00:00
5e0ceb64-2f83-4edb-88c0-f46704b891bc,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Bittergreens,leaf,early_winter,,2026-04-09T05:56:27.043152+00:00,2026-04-09T05:56:27.043152+00:00
cbf33830-79d3-42c9-9a94-d901169ddddf,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Sugarloaf Conical Chicory,leaf,early_winter,,2026-04-09T05:56:27.043152+00:00,2026-04-09T05:56:27.043152+00:00
157ad986-68b5-4b8e-b79e-ece281b44142,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Frisee,leaf,early_winter,,2026-04-09T05:56:27.043152+00:00,2026-04-09T05:56:27.043152+00:00
49e943d7-fa3e-411b-a1f9-25cb529a2c96,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Chrysanthemum,leaf,early_winter,,2026-04-09T05:56:27.043152+00:00,2026-04-09T05:56:27.043152+00:00
f3d475f6-f982-461a-ae9e-7fef4303e172,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Cover Crop,leaf,early_winter,,2026-04-09T05:56:27.043152+00:00,2026-04-09T05:56:27.043152+00:00
cfa6e7a7-e238-4f2c-8da2-0ace974a52d3,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Fennel Leaf,leaf,early_winter,,2026-04-09T05:56:27.043152+00:00,2026-04-09T05:56:27.043152+00:00
b46c8eeb-28ea-4810-931d-f4842917cf5d,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,"Lettuces - Butterhead, Gem",leaf,early_winter,,2026-04-09T05:56:27.043152+00:00,2026-04-09T05:56:27.043152+00:00
c506b1a2-19ae-4fb0-8e41-3bef5e21354e,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Mustard Greens,leaf,early_winter,,2026-04-09T05:56:27.043152+00:00,2026-04-09T05:56:27.043152+00:00
e1a70c5d-c852-4872-82f1-3ed6894119ed,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Peppercorn,leaf,early_winter,,2026-04-09T05:56:27.043152+00:00,2026-04-09T05:56:27.043152+00:00
09aec0bf-e63e-48c7-835c-709102cca37f,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Sorrels,leaf,early_winter,,2026-04-09T05:56:27.043152+00:00,2026-04-09T05:56:27.043152+00:00
