id,farm_id,name,category,unit_type,default_price,chef_notes,internal_notes,source,is_archived,sort_order,created_at,updated_at,image_url,season_status,season_note,days_to_maturity,sow_depth,plant_spacing,row_spacing,sun_requirement,soil_temp_min,growing_zone,sow_method,indoor_start_weeks,growing_notes,size,variety,color,unit_prices,is_event_item
2d7c5b8a-f3f9-462d-a7b0-06f5ac2dc976,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Allium Flower,flowers,"lg,sm,qt",15.0,,,,False,0,2026-04-07T10:22:16.976945+00:00,2026-05-01T04:55:40.167267+00:00,/items/farm-chives-common-lss-dsc-3298.jpg,available,,,,,,,,,,,,,,"White, purple","{'lg': 15, 'qt': 15, 'sm': 8}",True
3a05fc41-5bd0-49c1-8c7c-21a4a1c6fcf4,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Alyssum,flowers,"sm,lg",12.0,,,,False,0,2026-04-09T14:53:47.998208+00:00,2026-05-01T04:55:40.167267+00:00,/items/farm-01932-01-sweetalyssum.jpg,available,,60,surface,6-8 in,,full_sun,55,9b,both,6,Press lightly onto soil surface. Needs light to germinate.,,,"White, Purple","{'lg': 20, 'sm': 6}",True
b90584d8-fc78-420b-91e1-490117cd30cd,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Alyssum,herbs_leaves,sm,6.0,,,,False,10,2026-04-07T06:42:52.529292+00:00,2026-05-01T04:55:40.167267+00:00,/items/alyssum-flower.jpg,available,,60,surface,6-8 in,,full_sun,55,9b,both,6,Press lightly onto soil surface. Needs light to germinate.,,,,{},True
80715009-1569-4eb1-bc15-3f1b74e45280,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Amaranth,flowers,"lg,sm,qt",15.0,,,Bakers Creek,False,0,2026-04-07T10:22:17.66993+00:00,2026-05-01T04:55:40.167267+00:00,/items/farm-amaranth2-opopeo-lss-dsc-4989-1-.jpg,available,,,,,,,,,,,,large,,"Red, orange, yellow, green","{'lg': 15, 'qt': 15, 'sm': 7.5}",True
aa1f52af-a81a-43fc-84f2-8739dc579d52,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,"Amaranth, Micro",micros_leaves,sm,15.0,,,,False,0,2026-04-07T10:22:17.887329+00:00,2026-05-01T04:55:40.167267+00:00,/items/amaranth-micro.jpg,available,,,,,,,,,,,,Micro,,,{},True
70434006-1d15-4b04-aa28-3d45dde2a641,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Angelica,herbs_leaves,lbs,15.0,,,,False,0,2026-04-09T14:53:54.106515+00:00,2026-05-01T04:55:40.167267+00:00,/items/farm-00901-01-angelica.jpg,available,,,,,,,,,,,,,,,{},True
62ef1b1f-0f0c-4ea8-ae97-8262c836aca4,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Anise Hyssop,flowers,"lg,sm,qt",15.0,,,,False,0,2026-04-07T10:22:18.34261+00:00,2026-05-01T04:55:40.167267+00:00,/items/aniseflower.jpg,available,,,,,,,,,,,,,,White,"{'lg': 15, 'qt': 15, 'sm': 8}",True
0abbd494-b25b-4f13-a55e-dcf6db986965,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Anise Hyssop,herbs_leaves,lg,15.0,,,,False,0,2026-04-07T10:22:18.142051+00:00,2026-05-01T04:55:40.167267+00:00,/items/anisehyssop.jpg,available,,,,,,,,,,,,,,,{},True
bcd7e7fd-91d0-47a4-a561-3327481cd9ed,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Anise Hyssop Tiny Leaf/Tip (50 ct),herbs_leaves,ea,12.0,,,,False,0,2026-04-09T14:53:57.556376+00:00,2026-05-01T04:55:40.167267+00:00,,available,,,,,,,,,,,,"Tiny, 50 ct",,,{},True
b7208d85-35b3-448f-8cbe-35500f1559dd,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,"Apple, Green",herbs_leaves,ea,1.4,,,,False,0,2026-04-07T10:22:18.564418+00:00,2026-05-01T04:55:40.167267+00:00,,available,,,,,,,,,,,,,,Green,{},True
20a2301c-797c-4953-9efd-b28ccf27e775,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,"Apple, Red",herbs_leaves,ea,1.4,,,,False,0,2026-04-07T10:22:18.775089+00:00,2026-05-01T04:55:40.167267+00:00,,available,,,,,,,,,,,,,,Red,{},True
40b5c780-6569-4806-8e95-e2c92eaa87c9,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Aptenia,herbs_leaves,lg,15.0,,,,False,0,2026-04-07T10:22:18.993693+00:00,2026-05-01T04:55:40.167267+00:00,/items/aptenia.jpg,available,,,,,,,,,,,,,,,{},True
4f62f2d1-3fe0-4f77-a6e4-747bc5e8c87e,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Arugula,flowers,"qt,lg,sm",15.0,,,,False,0,2026-04-09T14:53:48.227186+00:00,2026-05-01T04:55:40.167267+00:00,/items/wasabiarugulaflower.jpg,available,,40,1/4 in,4-6 in,,sun_part_shade,45,9b,direct_seed,,Cool-season. Fast growing. Succession sow every 2-3 weeks. Bolts in heat.,,,White,"{'lg': 15, 'qt': 15, 'sm': 8}",True
d78ec394-051b-4132-aa11-92a24197f565,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,"Arugula, Wasabi",fruit_veg,lg,12.0,,,,False,0,2026-04-07T10:22:19.191228+00:00,2026-05-01T04:55:40.167267+00:00,,available,,40,1/4 in,4-6 in,,sun_part_shade,45,9b,direct_seed,,Cool-season. Fast growing. Succession sow every 2-3 weeks. Bolts in heat.,,Wasabi,,{},True
105a17f7-180a-4bb1-825c-6144eae25b9b,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Asparagus Shoots (50 ct),fruit_veg,ea,15.0,,,,False,0,2026-04-09T14:53:55.402685+00:00,2026-05-01T04:55:40.167267+00:00,,available,,,,,,,,,,,,50 ct,,,{},True
b56af66b-bf5b-40d8-9c9c-da4455afe5e3,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Baby Carrot,fruit_veg,lg,25.0,,,,False,0,2026-04-07T10:22:19.404077+00:00,2026-05-01T04:55:40.167267+00:00,,available,,65,1/4 in,2-3 in,12-18 in,full_sun,50,9b,direct_seed,,Direct sow. Thin to 2-3 inches. Loose soil essential. Keep moist until germination.,Baby,,,{},True
e61bb04a-6523-4f0a-b945-dae17b2ab3c6,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,"Baby Carrot, Round",fruit_veg,lg,25.0,,,,False,0,2026-04-07T10:22:19.61433+00:00,2026-05-01T04:55:40.167267+00:00,,available,,65,1/4 in,2-3 in,12-18 in,full_sun,50,9b,direct_seed,,Direct sow. Thin to 2-3 inches. Loose soil essential. Keep moist until germination.,Baby,Round,,{},True
b8717778-400b-49a6-bbc6-bce3d5e29c48,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,Baby Hakurei Turnip (50 ct),fruit_veg,ea,25.0,,,,True,0,2026-04-09T14:53:53.683006+00:00,2026-04-12T04:32:55.911007+00:00,,available,,35,1/4 in,4-6 in,,full_sun,50,9b,direct_seed,,Cool-season. Hakurei is fast (35 days). Edible roots and greens.,,,,{},False
1ef573f5-82a5-437f-b478-f09a7c3a3b06,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,"Baby Radish, French Breakfast",fruit_veg,lg,25.0,,,,False,0,2026-04-07T10:22:20.036626+00:00,2026-05-01T04:55:40.167267+00:00,/items/fbbaby.jpg,available,,25,1/2 in,2-4 in,,full_sun,45,9b,direct_seed,,"Fastest vegetable. Succession sow. French Breakfast, Red Round varieties.",Baby,French Breakfast,,{},True
fc567f21-d1c4-4360-90b4-2837eaf9e2e8,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,"Baby Radish, French Breakfast (50 ct)",fruit_veg,ea,25.0,,,,False,0,2026-04-09T14:53:53.836+00:00,2026-05-01T04:55:40.167267+00:00,,available,,25,1/2 in,2-4 in,,full_sun,45,9b,direct_seed,,"Fastest vegetable. Succession sow. French Breakfast, Red Round varieties.","Baby, 50 ct",French Breakfast (50 ct),,{},True
